iter	Passed	Remaining
893	10514	1246
894	10522	1234
895	10534	1222
896	10542	1210
897	10551	1198
898	10560	1186
899	10569	1174
900	10577	1162
901	10586	1150
902	10596	1138
903	10604	1126
904	10614	1114
905	10621	1102
906	10631	1090
907	10640	1078
908	10649	1066
909	10657	1054
910	10666	1042
911	10674	1030
912	10683	1018
913	10692	1006
914	10700	994
915	10709	982
916	10717	970
917	10727	958
918	10735	946
919	10745	934
920	10753	922
921	10762	910
922	10771	898
923	10780	886
924	10789	874
925	10799	863
926	10809	851
927	10817	839
928	10828	827
929	10840	815
930	10848	804
931	10858	792
932	10866	780
933	10876	768
934	10884	756
935	10893	744
936	10902	733
937	10910	721
938	10918	709
939	10931	697
940	10943	686
941	10959	674
942	10975	663
943	10992	652
944	11006	640
945	11021	629
946	11037	617
947	11061	606
948	11079	595
949	11093	583
950	11107	572
951	11122	560
952	11134	549
953	11146	537
954	11157	525
955	11172	514
956	11183	502
957	11196	490
958	11208	479
959	11220	467
960	11228	455
961	11238	443
962	11246	432
963	11256	420
964	11264	408
965	11274	396
966	11284	385
967	11294	373
968	11305	361
969	11315	349
970	11323	338
971	11333	326
972	11341	314
973	11351	303
974	11359	291
975	11368	279
976	11377	267
977	11386	256
978	11394	244
979	11403	232
980	11412	221
981	11420	209
982	11431	197
983	11441	186
984	11450	174
985	11458	162
986	11467	151
987	11475	139
988	11485	127
989	11495	116
990	11503	104
991	11513	92
992	11522	81
993	11532	69
994	11540	57
995	11550	46
996	11558	34
997	11568	23
998	11580	11
999	11590	0
